id,address,zip_code,latitude,longitude,city,state,categories,rating,name,price_level
AVwdRGa9_7pvs4fz4E3K,3703 Paxton Ave,45209,39.144883,-84.43268499999998,Cincinnati,OH,"Restaurant,Pizza Place,Restaurants",3.7,Mio's Pizzeria,2
AVwchRVZkufWRAb5wDIV,4061 28th St SE,49512,42.912878000000006,-85.566939,Grand Rapids,MI,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",4.4,Buddy's Pizza,2
AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,91741,34.137502000000005,-117.865331,Glendora,CA,"Pizza,Restaurant,Pizza Place",,,
AVwc2xOokufWRAb5zu4_,965 N Resler Dr,79912,31.862409000000003,-106.558431,El Paso,TX,"Restaurant,Pizza Place,Restaurants",3.4,Little Caesars Pizza,1
AVwdixeC_7pvs4fz67Pw,1584 N Woodland Blvd,32720,29.046703000000004,-81.30381700000002,DeLand,FL,"Restaurant,Pizza Place,Restaurants",,,
AVwdK3hX_7pvs4fz2-s0,1477 York Ave,10075,40.770825,-73.95102,New York,NY,"Restaurant,Pizza Place Upper East Side,Pizza Place",4.4,Salvo's Pizzabar,1
AVwcjjQ4kufWRAb5weHv,9600 San Jose Blvd,32257,30.204576,-81.785252,Jacksonville,FL,"Restaurant,Pizza Place",,,
AVwd3vBcIN2L1WUfz8Kd,786 Main St,12603,41.696049,-73.901679,Poughkeepsie,NY,"Restaurant,Pizza Place,Restaurants",3.6,Tony's Pizza Pit,1
AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,85710,32.223015000000004,-110.822913,Tucson,AZ,Pizza Place,,,
AV1h2sbCa4HuVbed7cM1,1612 Franklin St,46360,41.707275,-86.896541,Michigan City,IN,"Restaurant,Pizza Place,Restaurants",4.3,Albano's Villa,2
AVwcu-Fk_7pvs4fzyYOQ,121 E Seneca St,13461,43.07669600000001,-75.597597,Sherrill,NY,"Pizza,Pizza Place,Restaurants",,,
AVwd95bD_7pvs4fz-2aw,3348 Genesee St,14225,42.925755,-78.761238,Buffalo,NY,Pizza Place,,,
AVweUktQByjofQCxxMCG,1608 W Friendly Ave,27403,36.075201,-79.814066,Greensboro,NC,"Restaurant,Pizza Place Brice Street Area,Pizza Place",,,
AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,52240,41.64987100000001,-91.501576,Iowa City,IA,"Restaurant,Pizza Place",4.5,Papa Murphy's Take 'N' Bake Pizza,1
AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,28227,35.172024,-80.70837900000002,Charlotte,NC,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",4.4,Angela's Pizza & Restaurant,2
AVwejfkbIN2L1WUf6CVf,1330 Park St,94501,37.763389,-122.243626,Alameda,CA,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",,,
AVwdmw5ckufWRAb57ikr,321 W San Francisco St,87501,35.688306,-105.942629,Santa Fe,NM,"Pizza,Pizza Place,Restaurants",4.5,Il Vicino Wood Oven Pizza - Santa Fe,2
AVwdJ0iWIN2L1WUfswH0,329 Massachusetts Ave,46204,39.77139687,-86.15371764,Indianapolis,IN,"Pizza,Pizza Place,Restaurants",4.5,Bazbeaux,2
AVzA86ss-gnIPe8DSebH,4698 S Whitnall Ave,53235,42.960947,-87.879166,Saint Francis,WI,"Restaurant,Pizza Place",,,
AVwdXfmMIN2L1WUfvEuH,829 N Douglas St,90245,33.927667,-118.383589,El Segundo,CA,"Restaurant,Pizza Place",3.6,Zpizza,1
